song_name,artist,release,lyrics,thumbnail,album,genre,link
Ek Haseena Thi Ek Deewana Tha,Yasser Desai,2017,Ek haseena thi ek deewana tha Kya kahun tumse kya zamana tha Har jagah toh ye afsana tha Ek haseena thi ek deewana tha  Jab dil toota tha Tum se rootha tha Tum kahan the kahan the kahan the Tum kahan the kahan the kahaaaan  Aansoon girte the tanha firte the Tum kahan the kahan the kahan the Tum kahan the kahan the kahaaaan Tum kahan the kahan the kahan the Tum kahan the kahan the kahaaaan  Khamosh ho gaya tha mera ye jahaan Us waqt humsafar the jane tum kahan Kaise bayaan karun apni majbooriyaan Ek lamhe mein huye milon ki dooriyaan Jab tumko dena mera saath tha Tum kahan the tum kahan the Tum kahan the tum kahan the  Tum kahan the kahan the kahan the Tum kahan the kahan the kahaaaan Tum kahan the kahan the kahan the Tum kahan the kahan the kahaaaan...,https://i.ytimg.com/vi/6obiArkHwAk/hqdefault.jpg,"Hue Bechain (From ""Ek Haseena Thi Ek Deewana Tha"")","bollywood, hindi pop",https://www.youtube.com/results?search_query=Ek%20Haseena%20Thi%20Ek%20Deewana%20Tha%20Yasser%20Desai
Hue Bechain,"Palak Muchhal, Yasser Desai",2017,Hue bechain pehli bar hmny raaz ye jana Mohabbat mein koi aashiq kyun ban jata hai deewana Agr iqrar ho jaie ksi se pyar ho jaie Bra mushkl hota hai dil ko smjhana Huye bechain phli bar hm ny raz yeh jana Mohabbat main koie aashiq q ban jata hy deewana  Taswr k haseen lamhy tera ehsas karty hain Tera jab zikr aata hai to milne ko tadapte hain Hmara haal na pocho k duniya bhool bethy hain Chaly aao tumhary bin na marty hain na jeety hain Suno acha nahi hota kisi ko aise tadpana Mohabat mein koi aashiq q ban jata ha deewana  Ager ye pyar ho jaie Ksi pe dil jo aa jaie Bara mushkil hota hai dil ko smjhana Huye bechain pehli baar hum ny raaz yeh jana Tu hi hai tu hi hai tu hi hai Falak sy poch lo chahy Gwah ye chand tary hain Na smjho ajnabi sadiyon sy hm to bs tmhary hein  Mohbt sy na youn waqf bht anjan lgte ho Hamien milna zarori hai Haqiqt na smjhte ho Koi kese smjh paye Kis k dil ka afsana Mohabbat me koe aashq q bn jata ha deewana  Ager aqrar ho jaie ksi se pyar ho jaie Bada mushkil hota hai dil ko samjhana  Hue bechain pehli bar Humne raaz ye jana Huye bechain pehli baar humne raaz ye jana Muhabat me koi aashq kyun ban jata hai deewana Tera jab zikra ata hai to milne ko tadapte hain,https://i.ytimg.com/vi/6obiArkHwAk/hqdefault.jpg,"Hue Bechain (From ""Ek Haseena Thi Ek Deewana Tha"")","bollywood, hindi pop",https://www.youtube.com/results?search_query=Hue%20Bechain%20Palak%20Muchhal%2C%20Yasser%20Desai
Hanste Hanste,"Palak Muchhal, Yasser Desai",2017,Hanste hanste ro diye tum Kis mushkil mein khoye the tum Deewane se mausam mein Humko pagal kar gaye tum Humko pagal kar gaye tum  Hanste hanste ro diye tum Kis mushkil mein khoye the tum Deewane se mausam mein Humko pagal kar gaye tum Humko pagal kar gaye tum  Tu jo agar muskura de Mausam bhi baarish gira de Kitna haseen ye awaara pal hai Aise mein tu mere hosh udaa de  Phool pe shabnam ho gaye tum Dard ka marham ho gaye tum Deewane se mausam mein Humko pagal kar gaye tum Humko pagal kar gaye tum  Kaisa ajab sa nasha hai Badli huyi har fizaa hai Aise mein tum paas aao Jeene mein fir kya mazaa hai  Aankho ki aadat ho gaye tum Behki sharaat ho gaye tum Deewane se mausam mein Humko pagal kar gaye tum Humko pagal kar gaye tum  Hanste hanste ro diye tum Kis mushkil mein khoye the tum Deewane se mausam mein Humko pagal kar gaye tum Humko pagal kar gaye tum,https://i.ytimg.com/vi/rVKX19fNV0A/hqdefault.jpg,"Hanste Hanste (From ""Ek Haseena Thi Ek Deewana Tha"")","bollywood, hindi pop",https://www.youtube.com/results?search_query=Hanste%20Hanste%20Palak%20Muchhal%2C%20Yasser%20Desai
Nain,"Palak Muchhal, Yasser Desai",2017,"Kuchh sawaal pyar ke lab pe hai ruke ruke Jaadu kar gaye hai kya nain ye juke juke Jaadu kar gaye hai kya nain ye juke juke Haaye le gaye le gaye le gaye le gaye dil ka chain Le gaye le gaye le gaye le gaye dil ka chain Tere do nain mere naino mein rehte hai ab to saari rain Tere do nain, tere do nain...  Ehsaas bhi hai kya tujhko meri deewangi ka Tere hi dam se mujhe mein hai ye rang aashiqi ka Ye ishq rog dil ka hai kehta zamana sara Is raah ko chuna jisne woh jeet ke bhi haara  Jeet ho yaa haar ho ab to chal pade kadam Mera mujh mein kuchh nahi tere ho chuke hai hum Mera mujh mein kuchh nahi tere ho chuke hai hum Haaye le gaye le gaye le gaye le gaye dil ka chain Le gaye le gaye le gaye le gaye dil ka chain Tere do nain mere naino mein rehte hai ab to saari rain Tere do nain, tere do nain...  Is dil ki bas ye khwahish thi apna bana loon tujhko Aisa karam huaa rab ka tum mil gayi hai mujhko Sapno mein reh ke jeena kyun ab tak mujhe na aaya Na jaane kaise kab kis din tune ye dil churaya  Teri mushkurahate aur ye teri adda Karvate si dil ne li dhadkano ne di sadaa Karvate si dil ne li dhadkano ne di sadaa Haaye le gaye le gaye le gaye le gaye dil ka chain Le gaye le gaye le gaye le gaye dil ka chain Tere do nain mere naino mein rehte hai ab to saari rain Tere do nain, tere do nain...  Kuchh sawaal pyar ke lab pe hai ruke ruke Jaadu kar gaye hai kya nain ye juke juke Jaadu kar gaye hai kya nain ye juke juke Haaye le gaye le gaye le gaye le gaye dil ka chain Haaye le gaye le gaye le gaye le gaye dil ka chain Tere do nain mere naino mein rehte hai ab to saari rain Tere do nain, tere do nain...",https://i.ytimg.com/vi/ZHbbcy7u9Rk/hqdefault.jpg,"Nain (From ""Ek Haseena Thi Ek Deewana Tha"")","bollywood, hindi pop",https://www.youtube.com/results?search_query=Nain%20Palak%20Muchhal%2C%20Yasser%20Desai
Aankhon Mein Aansoon,"Palak Muchhal, Yasser Desai",2017,Aankhon mein aansoo leke hoton se muskuraye Aankhon mein aansoo leke hoton se muskuraye Hum jaisi jee rahe hai koi jeeke to bataye Hum jaisi jee rahe hai koi jeeke to bataye  Aankhon mein aansoo leke hoton se muskuraye Aankhon mein aansoo leke hoton se muskuraye Hum jaisi jee rahe hai koi jeeke to bataye Hum jaisi jee rahe hai koi jeeke to bataye  Jo tut ke na tute koi aisa dil dikhaye Jo tut ke na tute koi aisa dil dikhaye Hum jaisi jee rahe hai koi jeeke to bataye Hum jaisi jee rahe hai koi jeeke to bataye  Maine to ki mohabbat tune ki bewafai Taqdeer ye hamari kis mod pe le aayi Taqdeer ye hamari kis mod pe le aayi Tute hai is tarha dil aawaz tak na aaye Tute hai is tarha dil aawaz tak na aaye Hum jaisi jee rahe hai koi jeeke to bataye Hum jaisi jee rahe hai koi jeeke to bataye  Afsos mere dil ko mujhko bhula diya hai Meri wafa ka tune achha sila diya hai Meri wafa ka tune achha sila diya hai Tumne to keh diya haan bayan bhi kar na paaye Tumne to keh diya haan bayan bhi kar na paaye Hum jaisi jee rahe hai koi jeeke to bataye Hum jaisi jee rahe hai koi jeeke to bataye Aankhon mein aansoo leke hoton se muskuraye Aankhon mein aansoo leke hoton se muskuraye Hum jaisi jee rahe hai koi jeeke to bataye Hum jaisi jee rahe hai koi jeeke to bataye  Hum jaisi jee rahe hai koi jeeke to bataye Hum jaisi jee rahe hai koi jeeke to bataye,https://i.ytimg.com/vi/izP81UySf0Y/hqdefault.jpg,Unknown,Unknown,https://www.youtube.com/results?search_query=Aankhon%20Mein%20Aansoon%20Palak%20Muchhal%2C%20Yasser%20Desai
Tum Kahaan The,"Palak Muchhal, Yasser Desai",2017,"Ek haseena thi ek deewana tha Kya kahoon tum se kya zamana tha Har jagaah to ye afsana tha Ek haseena thi ek deewana tha  Jab tuta tha tum se rootha tha Tum kahaan the..kahaan the..kahaan the Tum kahaan the..kahaan the..kahaan Tum kahaan the..kahaan the..kahaan the Tum kahaan the..kahaan the..kahaan  Aansoo peete the tanhaa phirte the Tum kahaan the..kahaan the..kahaan the Tum kahaan the..kahaan the..kahaan Tum kahaan the..kahaan the..kahaan the Tum kahaan the..kahaan the..kahaan  Khamosh ho gaya tha mera ye jahaan Us waqt hamsafar the jaane tum kahaan Kaise bayaan karoon apni mazbooriya Ek lamha mein huye milon ki dooriyan  Jab tumko diya mera saath tha Tum kahaan the..kahaan the..kahaan the Tum kahaan the..kahaan the..kahaan Tum kahaan the..kahaan the..kahaan the Tum kahaan the..kahaan the..kahaan  Duniya ki bheer mein, main tanha reh gaya Kyun khwaab aankhon ka, ashqon mein beh gaya Kyun chup hai ye zameen, kyun chup hai aasmaan Hum paas rehke bhi, hum paas hain kahaan Jab jee karta tha tumse milne ko  Tum kahaan the, tum kahaan the... Tum kahaan the, tum kahaan the...  Tum kahaan the..kahaan the..kahaan the Tum kahaan the..kahaan the..kahaan Tum kahaan the..kahaan the..kahaan the Tum kahaan the..kahaan the..kahaan  Tum kahaan the, tum kahaan the... Tum kahaan the, tum kahaan the...",https://i.ytimg.com/vi/z2duaCy9ye0/hqdefault.jpg,Unknown,Unknown,https://www.youtube.com/results?search_query=Tum%20Kahaan%20The%20Palak%20Muchhal%2C%20Yasser%20Desai
Rocket Saiyyan,"Ritu Pathak, Brijesh Shandilya, Tanishk Bagchi",2017,Honey honey kar saiyyan Moon pe pahunch gaye January ka sochun saiyyan June pe pahunch gaye [x2]  Leke chalein saare hisab humare saiyyan Aisi velocity janab fawware saiyyan  Rocket humare saiyyan Rocket humare saiyyan Saiyyan saiyyan saiyyan saiyyan… Rocket humare saiyyan  Rocket humare saiyyan [x2]  Duniya palat doonga Tu na lena tension Tere hi liye hai meri Sagli attention  Arey duniya palat doonga Tu na lena tension Tere hi liye hai meri Sagli attention  Dekho na baby dil ke wire ki length ko Chhukar dekho pyaar wale current ko  Baatein kare phenke gulab humare saiyyan Aisi velocity janab fawware saiyyan  Rocket humare saiyyan!  Rocket humare saiyyan Saiyyan saiyyan saiyyan saiyyan Rocket humare saiyyan [x2]  Rocket… Saiyyan saiyyan… [x2]  Rocket humare saiyyan Saiyyan saiyyan saiyyan saiyyan Rocket humare saiyyan… [x2],https://i.ytimg.com/vi/3XRlH50X-V4/hqdefault.jpg,Shubh Mangal Saavdhan (Original Motion Picture Soundtrack),"bollywood, hindi pop",https://www.youtube.com/results?search_query=Rocket%20Saiyyan%20Ritu%20Pathak%2C%20Brijesh%20Shandilya%2C%20Tanishk%20Bagchi
Kanha,Shashaa Tirupati,2017,"Unchi unchi doriyon pe Baandhun re gagar Par na maane na Kanha maane na  Jag jo bichaye har jaal kaat le Makhan churaye har maal chhaant le Murli se kare aisi trick tik tik tik  Panghat ki hai badi… Panghat ki hai badi kathin dagar Par na maane na Kanha maane na  Roke mohe, toke mohe Kaate re dagar o re Yamuna ke tatt ki Laaj naahi, kaaj naahi Maare jo kankariya toh phute mori matki  Vaak chatur bharmaavein Prem jaar arjhaavein  Jo bhi kare, kare sab Quick quick quick quick Kahun main piya ji Thoda karlo sabar Par na maane na Kanha maane na…  Unchi unchi doriyon pe Baandhun re gagar Par na maane na Kanha maane na",https://i.ytimg.com/vi/lK43SHqqXlU/hqdefault.jpg,Shubh Mangal Saavdhan (Original Motion Picture Soundtrack),"bollywood, hindi pop",https://www.youtube.com/results?search_query=Kanha%20Shashaa%20Tirupati
Laddoo,Mika Singh,2017,Haaye boli aisi ke tamatar bhi mangaye To lage jaise mushaayaron mein Baitha sun raha hoon usko  (Ma dha ni sa ni dha ma ga…)  Arey aankhein aisi ke Milaaye jab nigahein Yeh nigahein dagmagaaye Kuch samajh mein bhi na aaye dil ko  Par… Jaise mohabbat utthi Seene mein ghus gayi gupti Iss dil ke laddoo bant gaye  Haan… suljhi thodi jab gutthi Khwabon ki ho gayi chhuti Iss dil ke laddoo bant gaye  Haan… chhaata lekar nikle koi ghar se Chhaaye baadal na barse Jaise note 2000 ke leke koi Chhutte ko tarse  Sagar mein pyaasa hai dil Par kar kya sakta hai dil Iss dil ke laddoo bant gaye  Chhota zara hai dil Kaisa ruaan se hai dil Iss dil ke laddoo bant gaye  Haaye aisi taisi aisi huyi ke Emotion ka juice nikla Jhaalar laga ke ghar sajaaya Par connection loose nikla  Haan free mein ho gaye fadde Jeevan ka Happy B’day Iss dil ke laddoo bant gaye  Haaye raahon mein aise gadde Toote hain dil ke haddey Iss dil ke laddoo bant gaye  Boli aisi ke tamatar bhi mangaye To lage jaise mushaayaron mein Baitha sun raha hoon usko  Arey aankhein aisi ke Milaaye jab nigahein Yeh nigahein dagmagaaye Kuch samajh mein hi na aaye dil ko  Par… Jaise mohabbat utthi Seene mein ghus gayi gupti Iss dil ke laddoo bant gaye  Haan… suljhi thodi jab guthi Khwabon ki ho gayi chhuti Iss dil ke… (mmhmm) lag gaye,https://i.ytimg.com/vi/PJHULYj2wvg/hqdefault.jpg,Shubh Mangal Saavdhan (Original Motion Picture Soundtrack),"bollywood, hindi pop",https://www.youtube.com/results?search_query=Laddoo%20Mika%20Singh
Kankad,"Raja Hasan, Shashaa Tirupati, Rajnigandha Shekhawat, Arman Hasan",2017,Hariyali humri laado fancy Banna bedhanga kaise hove loka chakka fit Hariyali humri laado fancy Banna bedhanga gaadi English engine dhakka fit  Duniya jo dil pe Bandook bhi rakh de Phir bhi loon jeet  O kankad bhi kabhi koi Aa nahi sakta tere mere beech  Tu jo rahegi toh Saath degi toh Rishte nibha lunga main Kishte chuka dunga main Chhote hain budget mein khwab Magar anmol meri preet O kankad bhi kabhi koi Aa nahi sakta tere mere beech  O…  Mere liye tu Ram na Ranjha Utna bahut hai jitna saanjha  Ho chote bade sab tere Sapne hain mere ab Mere wale sapne toh Sach mein hain mere ab  Tu jo rahega toh Saath dega toh Rab se kya maangungi main Sab kuch toh paa lungi main  Dil yeh kabhi jo ladkhadaye toh Thaam lena please  Kankad bhi kabhi koi aa nahi sakta Tere mere beech  Kankad bhi kabhi koi aa nahi sakta Tere mere beech  Hariyali humri laado fancy Banna bedhanga kaise hove loka chakka fit Hariyali humri laado fancy Banna bedhanga gaadi English engine dhakka fit,https://i.ytimg.com/vi/avR77Jyir-o/hqdefault.jpg,Unknown,Unknown,https://www.youtube.com/results?search_query=Kankad%20Raja%20Hasan%2C%20Shashaa%20Tirupati%2C%20Rajnigandha%20Shekhawat%2C%20Arman%20Hasan
