song_name,artist,release,lyrics,thumbnail,album,genre,link
Someone You Loved,Lewis Capaldi,2022,Sample lyrics from Someone You Loved...,https://img.youtube.com/vi/zABLecsR5UE/0.jpg,Divinely Uninspired,Pop,https://www.youtube.com/watch?v=zABLecsR5UE
Love Yourself,Justin Bieber,2020,Sample lyrics from Love Yourself...,https://img.youtube.com/vi/oyEuk8j8imI/0.jpg,Purpose,Pop,https://www.youtube.com/watch?v=oyEuk8j8imI
Blinding Lights,The Weeknd,2015,Sample lyrics from Blinding Lights...,https://img.youtube.com/vi/4NRXx6U8ABQ/0.jpg,After Hours,Synth-pop,https://www.youtube.com/watch?v=4NRXx6U8ABQ
Sorry,Justin Bieber,2014,Sample lyrics from Sorry...,https://img.youtube.com/vi/fRh_vgS2dFE/0.jpg,Purpose,Pop,https://www.youtube.com/watch?v=fRh_vgS2dFE
Thunder,Imagine Dragons,2017,Sample lyrics from Thunder...,https://img.youtube.com/vi/fKopy74weus/0.jpg,Evolve,Rock,https://www.youtube.com/watch?v=fKopy74weus
Sugar,Maroon 5,2016,Sample lyrics from Sugar...,https://img.youtube.com/vi/09R8_2nJtjg/0.jpg,V,Pop,https://www.youtube.com/watch?v=09R8_2nJtjg
Shape of You,Ed Sheeran,2018,Sample lyrics from Shape of You...,https://img.youtube.com/vi/JGwWNGJdvx8/0.jpg,Divide,Pop,https://www.youtube.com/watch?v=JGwWNGJdvx8
Radioactive,Imagine Dragons,2019,Sample lyrics from Radioactive...,https://img.youtube.com/vi/ktvTqknDobU/0.jpg,Night Visions,Rock,https://www.youtube.com/watch?v=ktvTqknDobU
Starboy,The Weeknd,2014,Sample lyrics from Starboy...,https://img.youtube.com/vi/34Na4j8AVgA/0.jpg,Starboy,R&B,https://www.youtube.com/watch?v=34Na4j8AVgA
Happier,Marshmello & Bastille,2021,Sample lyrics from Happier...,https://img.youtube.com/vi/m7Bc3pLyij0/0.jpg,Single,Pop,https://www.youtube.com/watch?v=m7Bc3pLyij0
Perfect,Ed Sheeran,2016,Sample lyrics from Perfect...,https://img.youtube.com/vi/2Vv-BfVoq4g/0.jpg,Divide,Pop,https://www.youtube.com/watch?v=2Vv-BfVoq4g
New Rules,Dua Lipa,2020,Sample lyrics from New Rules...,https://img.youtube.com/vi/k2qgadSvNyU/0.jpg,Dua Lipa,Pop,https://www.youtube.com/watch?v=k2qgadSvNyU
Girls Like You,Maroon 5,2016,Sample lyrics from Girls Like You...,https://img.youtube.com/vi/aJOTlE1K90k/0.jpg,Red Pill Blues,Pop,https://www.youtube.com/watch?v=aJOTlE1K90k
Closer,The Chainsmokers,2017,Sample lyrics from Closer...,https://img.youtube.com/vi/PT2_F-1esPk/0.jpg,Collage,EDM,https://www.youtube.com/watch?v=PT2_F-1esPk
Stitches,Shawn Mendes,2016,Sample lyrics from Stitches...,https://img.youtube.com/vi/VbfpW0pbvaU/0.jpg,Handwritten,Pop,https://www.youtube.com/watch?v=VbfpW0pbvaU
Save Your Tears,The Weeknd,2021,Sample lyrics from Save Your Tears...,https://img.youtube.com/vi/XXYlFuWEuKI/0.jpg,After Hours,Pop,https://www.youtube.com/watch?v=XXYlFuWEuKI
Don't Start Now,Dua Lipa,2020,Sample lyrics from Don't Start Now...,https://img.youtube.com/vi/oygrmJFKYZY/0.jpg,Future Nostalgia,Pop,https://www.youtube.com/watch?v=oygrmJFKYZY
Photograph,Ed Sheeran,2019,Sample lyrics from Photograph...,https://img.youtube.com/vi/nSDgHBxUbVQ/0.jpg,Multiply,Pop,https://www.youtube.com/watch?v=nSDgHBxUbVQ
Senorita,Shawn Mendes & Camila Cabello,2022,Sample lyrics from Senorita...,https://img.youtube.com/vi/Pkh8UtuejGw/0.jpg,Single,Pop,https://www.youtube.com/watch?v=Pkh8UtuejGw
Something Just Like This,The Chainsmokers & Coldplay,2015,Sample lyrics from Something Just Like This...,https://img.youtube.com/vi/FM7MFYoylVs/0.jpg,Single,EDM,https://www.youtube.com/watch?v=FM7MFYoylVs
Believer,Imagine Dragons,2017,Sample lyrics from Believer...,https://img.youtube.com/vi/7wtfhZwyrcc/0.jpg,Evolve,Rock,https://www.youtube.com/watch?v=7wtfhZwyrcc
Levitating,Dua Lipa,2018,Sample lyrics from Levitating...,https://img.youtube.com/vi/TUVcZfQe-Kw/0.jpg,Future Nostalgia,Pop,https://www.youtube.com/watch?v=TUVcZfQe-Kw
Sapphire,Ed Sheeran,2024,Sample lyrics from Sapphire...,https://img.youtube.com/vi/placeholder1/0.jpg,Single,Pop,https://www.youtube.com/watch?v=placeholder1
Champion,DJ Bravo,2016,Champion champion...,https://img.youtube.com/vi/placeholder2/0.jpg,Single,Dancehall,https://www.youtube.com/watch?v=placeholder2
Goosebumps,Travis Scott,2016,I get those goosebumps every time...,https://img.youtube.com/vi/Dst9gZkq1a8/0.jpg,Birds in the Trap Sing McKnight,Hip-Hop,https://www.youtube.com/watch?v=Dst9gZkq1a8
SICKO MODE,Travis Scott,2018,"Astro, yeah...",https://img.youtube.com/vi/6ONRf7h3Mdk/0.jpg,Astroworld,Hip-Hop,https://www.youtube.com/watch?v=6ONRf7h3Mdk
God's Plan,Drake,2018,I only love my bed and my momma...,https://img.youtube.com/vi/xpVfcZ0ZcFM/0.jpg,Scorpion,Hip-Hop,https://www.youtube.com/watch?v=xpVfcZ0ZcFM
One Dance,Drake,2016,Grips on your waist...,https://img.youtube.com/vi/iAbnEUA0wpA/0.jpg,Views,Dancehall,https://www.youtube.com/watch?v=iAbnEUA0wpA
Doja,Central Cee,2022,How can I be homophobic...,https://img.youtube.com/vi/_VuJA-VQRcY/0.jpg,23,UK Drill,https://www.youtube.com/watch?v=_VuJA-VQRcY
Billie Eilish,Armani White,2022,"Bitch, I'm stylish...",https://img.youtube.com/vi/4f7zAX3wz2s/0.jpg,Single,Hip-Hop,https://www.youtube.com/watch?v=4f7zAX3wz2s
HUMBLE.,Kendrick Lamar,2017,"Sit down, be humble...",https://img.youtube.com/vi/tvTRZJ-4EyI/0.jpg,DAMN.,Hip-Hop,https://www.youtube.com/watch?v=tvTRZJ-4EyI
N.R.I.,Raja Kumari,2022,I am an NRI...,https://img.youtube.com/vi/placeholder3/0.jpg,Single,Hip-Hop,https://www.youtube.com/watch?v=placeholder3
Bad Guy,Billie Eilish,2019,So you're a tough guy...,https://img.youtube.com/vi/DyDfgMOUjCI/0.jpg,When We All Fall Asleep,Pop,https://www.youtube.com/watch?v=DyDfgMOUjCI
Lovely,Billie Eilish & Khalid,2018,Isn't it lovely...,https://img.youtube.com/vi/V1Pl8CzNzCw/0.jpg,Single,Pop,https://www.youtube.com/watch?v=V1Pl8CzNzCw
Thinking Out Loud,Ed Sheeran,2014,Sample lyrics...,https://img.youtube.com/vi/lp-EO5I60KA/0.jpg,Multiply,Pop,https://www.youtube.com/watch?v=lp-EO5I60KA
Castle on the Hill,Ed Sheeran,2017,Sample lyrics...,https://img.youtube.com/vi/K0ibBPhiaG0/0.jpg,Divide,Pop,https://www.youtube.com/watch?v=K0ibBPhiaG0
Highest in the Room,Travis Scott,2019,Sample lyrics...,https://img.youtube.com/vi/tfSS1e3kYeo/0.jpg,Single,Hip-Hop,https://www.youtube.com/watch?v=tfSS1e3kYeo
FE!N,Travis Scott,2023,Sample lyrics...,https://img.youtube.com/vi/U-l4ya3ejko/0.jpg,Utopia,Hip-Hop,https://www.youtube.com/watch?v=U-l4ya3ejko
Hotline Bling,Drake,2015,Sample lyrics...,https://img.youtube.com/vi/uxpDa-c-4Mc/0.jpg,Views,Hip-Hop,https://www.youtube.com/watch?v=uxpDa-c-4Mc
Started From The Bottom,Drake,2013,Sample lyrics...,https://img.youtube.com/vi/RubBzkZzpUA/0.jpg,Nothing Was The Same,Hip-Hop,https://www.youtube.com/watch?v=RubBzkZzpUA
Loading,Central Cee,2020,Sample lyrics...,https://img.youtube.com/vi/0A3M1tV5e2E/0.jpg,Wild West,UK Drill,https://www.youtube.com/watch?v=0A3M1tV5e2E
Public Service Announcement,Armani White,2023,Sample lyrics...,https://img.youtube.com/vi/placeholder4/0.jpg,Single,Hip-Hop,https://www.youtube.com/watch?v=placeholder4
